Date,Open,High,Low,Close,Adj Close,Volume
2022-12-07,60.514999,63.279999,60.514999,60.514999,60.514999,0
2022-12-08,61.965000,62.980099,61.965000,63.464901,63.464901,0
2022-12-09,62.035000,62.779999,62.035000,63.365002,63.365002,0
2022-12-12,62.480000,63.249500,62.380001,62.480000,62.480000,0
2022-12-13,62.625000,63.508499,62.625000,62.625000,62.625000,0
2022-12-14,63.180000,64.964996,62.980000,63.180000,63.180000,0
2022-12-15,64.714996,65.232498,63.779900,64.714996,64.714996,0
2022-12-16,64.614998,65.364998,64.447998,64.614998,64.614998,0
2022-12-19,64.839996,69.040001,64.230003,64.839996,64.839996,0
2022-12-20,69.714996,71.214996,67.179901,69.714996,69.714996,0
2022-12-21,69.500000,72.565002,68.830002,69.250000,69.250000,0
2022-12-22,71.339996,72.684502,68.514999,73.214996,73.214996,0
2022-12-23,68.214996,70.264999,67.480003,68.214996,68.214996,0
2022-12-26,70.214996,70.214996,67.980003,70.214996,70.214996,0
2022-12-27,68.330002,70.835503,68.279999,68.330002,68.330002,0
2022-12-28,69.964996,73.090103,69.964996,69.964996,69.964996,0
2022-12-29,72.714996,73.964996,71.352997,72.714996,72.714996,0
2022-12-30,74.964996,74.964996,70.180000,73.964996,73.964996,0
2023-01-02,73.714996,77.964996,72.089500,73.714996,73.714996,0
2023-01-03,70.964996,73.261002,69.964996,70.995499,70.995499,0
2023-01-04,73.014999,73.060997,69.980003,73.014999,73.014999,0
2023-01-05,71.464996,72.944504,70.980003,72.464996,72.464996,0
2023-01-06,72.114998,73.062500,71.479897,72.114998,72.114998,0
2023-01-09,72.464996,72.464996,69.480003,72.464996,72.464996,0
2023-01-10,69.879997,69.879997,69.082001,69.879997,69.879997,0
2023-01-11,69.639999,70.080002,68.264999,69.639999,69.639999,0
2023-01-12,70.264999,70.264999,67.384499,69.119003,69.119003,0
2023-01-13,67.750000,68.839996,67.180000,67.750000,67.750000,0
2023-01-16,65.964996,68.980003,65.964996,65.964996,65.964996,0
2023-01-17,68.764999,69.404503,68.279999,68.714996,68.714996,0
2023-01-18,68.464996,69.589996,68.464996,68.464996,68.464996,0
2023-01-19,68.714996,69.389999,68.679001,68.714996,68.714996,0
2023-01-20,69.364998,69.364998,68.210503,69.364998,69.364998,0
2023-01-23,68.464996,69.429497,68.392998,68.214996,68.214996,0
2023-01-24,68.915001,69.079498,68.595497,68.945000,68.945000,0
2023-01-25,69.195000,69.565002,68.580002,69.415001,69.415001,0
2023-01-26,69.440002,69.694504,68.836502,69.195000,69.195000,0
2023-01-27,69.464996,69.894501,69.029999,69.464996,69.464996,0
2023-01-30,69.464996,70.505997,69.300003,70.692497,70.692497,0
2023-01-31,69.879997,70.629997,69.879997,69.879997,69.879997,0
2023-02-01,70.550003,70.551003,69.780998,70.550003,70.550003,0
2023-02-02,70.089996,70.480499,69.728996,69.900002,69.900002,0
2023-02-03,70.029999,70.948502,70.029999,75.030998,75.030998,0
2023-02-06,71.125000,71.464996,70.379997,70.614998,70.614998,0
2023-02-07,71.474998,71.514999,70.637001,71.474998,71.474998,0
2023-02-08,70.990997,73.415001,70.639999,72.099998,72.099998,0
2023-02-09,72.014999,73.464500,71.528999,73.221001,73.221001,0
2023-02-10,73.004997,74.045998,72.432503,73.004997,73.004997,0
2023-02-13,73.074997,73.972000,73.074997,73.074997,73.074997,0
2023-02-14,73.165001,74.161499,73.101501,74.064003,74.064003,0
2023-02-15,73.565002,74.779503,73.565002,73.565002,73.565002,0
2023-02-16,73.964996,75.156502,73.964996,73.964996,73.964996,0
2023-02-17,74.680000,75.181000,73.839500,74.680000,74.680000,0
2023-02-20,73.264999,74.917999,73.264999,73.964996,73.964996,0
2023-02-21,72.964996,75.617996,72.964996,75.463997,75.463997,0
2023-02-22,74.614998,75.699997,74.161003,74.614998,74.614998,0
2023-02-23,74.864998,75.809998,74.864998,74.864998,74.864998,0
2023-02-24,74.864998,76.543800,74.864998,75.364998,75.364998,0
2023-02-27,75.980003,76.279999,74.443001,75.980003,75.980003,0
2023-02-28,74.614998,75.322998,73.980003,74.614998,74.614998,0
2023-03-01,75.014999,75.489998,74.806999,75.014999,75.014999,0
2023-03-02,75.230003,75.757500,74.873001,75.230003,75.230003,0
2023-03-03,75.489998,75.629997,75.021004,75.489998,75.489998,0
2023-03-06,75.364998,75.830002,75.134003,75.364998,75.364998,0
2023-03-07,75.364998,75.928001,75.224998,75.364998,75.364998,0
2023-03-08,75.565002,76.536003,75.565002,75.565002,75.565002,0
2023-03-09,76.014999,76.209999,75.566002,76.014999,76.014999,0
2023-03-10,75.815002,76.403999,75.616501,75.815002,75.815002,0
2023-03-13,76.165001,76.165001,74.594498,76.165001,76.165001,0
2023-03-14,75.514999,75.975998,74.973999,75.514999,75.514999,0
2023-03-15,75.714996,76.378502,75.125000,75.714996,75.714996,0
2023-03-16,76.065002,77.038498,75.760498,5.000000,5.000000,0
2023-03-17,76.464996,77.275002,76.076500,76.464996,76.464996,0
2023-03-20,76.925003,77.675003,76.493500,76.925003,76.925003,0
2023-03-21,77.464996,77.464996,76.639999,77.464996,77.464996,0
2023-03-22,77.214996,77.464996,76.865501,77.214996,77.214996,0
2023-03-23,76.889999,77.039497,75.767998,76.889999,76.889999,0
2023-03-24,75.964996,77.183998,75.964996,75.964996,75.964996,0
2023-03-27,77.245003,77.245003,76.379997,77.245003,77.245003,0
